iter	Passed	Remaining
0	2	237
1	6	295
2	9	291
3	12	290
4	14	277
5	17	278
6	20	267
7	22	261
8	25	253
9	28	253
10	30	247
11	33	245
12	36	243
13	41	257
14	46	261
15	49	262
16	52	256
17	56	255
18	58	251
19	61	247
20	64	241
21	67	240
22	70	236
23	72	230
24	75	226
25	78	222
26	80	217
27	82	213
28	86	211
29	88	206
30	91	204
31	94	200
32	96	195
33	99	192
34	101	189
35	104	185
36	106	182
37	109	178
38	111	174
39	114	172
40	117	168
41	119	165
42	121	161
43	125	159
44	127	156
45	129	152
46	133	150
47	135	146
48	138	144
49	140	140
50	143	138
51	145	134
52	148	131
53	150	128
54	153	125
55	156	122
56	158	119
57	160	116
58	163	113
59	165	110
60	167	107
61	170	104
62	172	101
63	175	98
64	177	95
65	179	92
66	182	89
67	184	86
68	187	84
69	189	81
70	191	78
71	193	75
72	196	72
73	198	69
74	201	67
75	203	64
76	206	61
77	208	58
78	210	56
79	212	53
80	214	50
81	216	47
82	219	44
83	221	42
84	224	39
85	226	36
86	228	34
87	231	31
88	234	28
89	236	26
90	238	23
91	240	20
92	242	18
93	245	15
94	247	13
95	250	10
96	252	7
97	255	5
98	258	2
99	261	0
